|     1|1664|
|     1|181|
|    15|1865|
|    26|1866|
|    30|1869|
|    41|1871|
|    22|1873|
|    27|1874|
|    24|1875|
|   122|1876|
|    98|1877|
|   104|1878|
|   100|1879|
|   139|1880|
|   160|1881|
|   156|1882|
|   157|1883|
|   153|1884|
|   216|1885|
|   347|1886|
|   400|1887|
|   372|1888|
|   593|1889|
|   525|1890|
|   657|1891|
|   466|1892|
|   685|1893|
|   671|1894|
|     2|]1894|
|   559|1895|
|   797|1896|
|   696|1897|
|   895|1898|
|   770|1899|
|   749|1900|
|     1|19008|
|   805|1901|
|   826|1902|
|   872|1903|
|   981|1904|
|  1080|1905|
|  1078|1906|
|  1163|1907|
|  1137|1908|
|  1421|1909|
|  1043|1910|
|  1418|1911|
|  1191|1912|
|  1138|1913|
|  1271|1914|
|  1240|1915|
|  1282|1916|
|  1115|1917|
|   992|1918|
|   943|1919|
|  1094|1920|
|  1251|1921|
|  1275|1922|
|  1491|1923|
|  1600|1924|
|  1826|1925|
|  1846|1926|
|  1866|1927|
|  1925|1928|
|  1918|1929|
|  1964|1930|
|  1963|1931|
|  2294|1932|
|  2127|1933|
|     2|1933-1958|
|  2225|1934|
|  2153|1935|
|  2179|1936|
|  2506|1937|
|   217|1937–38|
|  2661|1938|
|  2629|1939|
|  2303|1940|
|  1989|1941|
|  1960|1942|
|  1979|1943|
|  1736|1944|
|  1638|1945|
|    10|1945-1946|
|    49|1945–1946|
|  2221|1946|
|    12|1946-1947|
|  2746|1947|
|    16|1947-1948|
|  2850|1948|
|     5|1948-1949|
|    63|1948/49|
|  2949|1949|
|    32|1949-1950|
|  3351|1950|
|    30|1950-1951|
|    53|1950/51|
|  3726|1951|
|     7|1951-1952|
|    35|1951/52|
|  3822|1952|
|    33|1952-1953|
|  3914|1953|
|    27|1953-1954|
|    42|1953/54|
|  3915|1954|
|    26|1954-1955|
|  4070|1955|
|    18|1955-1956|
|  4425|1956|
|     9|1956-1957|
|  4961|1957|
|  5045|1958|
|  4838|1959|
|     1|195o6|
|     1|196|
|  5012|1960|
|     9|1960–1961|
|  5194|1961|
|  5371|1962|
|  5726|1963|
|  6279|1964|
|  6568|1965|
|    41|1965-1966|
|  7185|1966|
|     1|1966o|
|     1|1966s|
|  7602|1967|
|     1|1967s|
|  8446|1968|
|  8314|1969|
|    10|1969-1970|
|     1|196s6|
|     1|197|
|  8451|1970|
|     3|© 1970 BY JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES.INC.|
|  8609|1971|
|     8|1971-1972|
|  9623|1972|
|     9|1972-1973|
|  9955|1973|
| 10228|1974|
|    50|1974/75|
|     1|1974o|
| 10328|1975|
| 11190|1976|
|    11|1976-1977|
|     6|1976/77|
| 11273|1977|
| 11257|1978|
|     8|1978/79|
| 11706|1979|
| 12662|1980|
|     1|1980o|
| 12574|1981|
| 13496|1982|
| 14527|1983|
| 14658|1984|
| 14766|1985|
| 15447|1986|
|    25|1986/87|
| 15766|1987|
| 16933|1988|
| 18017|1989|
|     1|199.|
| 19487|1990|
| 19644|1991|
| 21042|1992|
| 21941|1993|
| 22516|1994|
|     1|19945|
| 24780|1995|
| 21201|1996|
| 19265|1997|
|     1|1997s|
| 17792|1998|
| 20153|1999|
|     1|19o57|
|     1|19o60|
| 21313|2000|
| 21023|2001|
| 21639|2002|
| 21911|2003|
| 22972|2004|
| 24554|2005|
| 22798|2006|
| 22347|2007|
| 22625|2008|
| 23586|2009|
| 25493|2010|
| 25421|2011|
| 27230|2012|
| 25794|2013|
| 26546|2014|
| 33957|2015|
|     1|2015	|
| 10546|2016|
|     1|Fichier binaire /media/lionel/Data/swissbib-data/oxford/2nd_delivery_extracted/jmammal.tar.gz/jmammal/jmamma_gyv043_f0001.jpg correspondant|
|     1|Fichier binaire /media/lionel/Data/swissbib-data/oxford/2nd_delivery_extracted/jmammal.tar.gz/jmammal/jmamma_gyv046_f0002.jpg correspondant|
|     3|I986|
